date,open,high,low,close,volume,position,s
2016-09-07,20.81,21.12,20.69,20.83,474,0,0.0
2016-09-08,20.85,20.89,20.61,20.86,629,0,0.0
2016-09-09,20.81,21.03,20.65,20.69,550,0,0.0
2016-09-12,20.63,20.88,20.51,20.82,573,0,0.0
2016-09-13,20.84,21.03,20.77,20.94,643,0,0.0
2016-09-14,20.96,21.0,20.68,20.81,521,0,0.0
2016-09-15,20.79,21.18,20.71,21.15,732,0,0.0
2016-09-16,21.16,22.86,21.13,22.54,2181,0,0.0
2016-09-19,22.43,22.95,22.4,22.7,1801,0,0.0
2016-09-20,22.43,22.95,22.37,22.66,1026,0,0.0
2016-09-21,22.8,22.86,22.5,22.72,540,0,0.0
2016-09-22,22.88,23.88,22.59,22.59,1915,0,0.0
2016-09-23,22.59,22.84,22.22,22.74,2043,0,0.0
2016-09-26,22.6,23.18,22.51,23.13,2778,0,0.0
2016-09-27,23.14,23.55,22.84,23.44,2752,0,0.0
2016-09-28,23.54,23.85,23.37,23.81,2485,0,0.0
2016-09-29,23.84,24.06,23.24,23.43,3017,0,0.0
2016-09-30,23.39,23.56,22.79,22.8,5111,0,0.0
2016-10-03,22.8,22.8,22.8,22.8,0,0,0.0
2016-10-04,22.58,23.44,22.56,23.29,3428,0,0.0
2016-10-05,23.35,23.86,23.25,23.61,3425,0,0.0
2016-10-06,23.9,23.9,22.83,23.16,2971,0,0.0
2016-10-07,23.02,23.69,22.92,23.38,2470,0,0.0
2016-10-10,23.24,23.38,22.82,23.1,2518,0,0.0
2016-10-11,23.0,23.4,22.66,23.29,3149,0,0.0
2016-10-12,23.4,23.59,22.87,23.15,2892,0,0.0
2016-10-13,23.13,23.3,22.88,22.89,2897,0,0.0
2016-10-14,22.95,23.32,22.73,22.96,2908,0,0.0
2016-10-17,22.96,22.96,22.96,22.96,0,0,0.0
2016-10-18,22.96,22.96,22.96,22.96,0,0,0.0
2016-10-19,22.96,22.96,22.96,22.96,0,0,0.0
2016-10-20,22.96,22.96,22.96,22.96,0,0,0.0
2016-10-21,22.96,22.96,22.96,22.96,0,0,0.0
2016-10-24,22.71,22.71,22.71,22.71,0,0,0.0
2016-10-25,22.71,22.71,22.71,22.71,0,0,0.0
2016-10-26,22.9,22.95,22.66,22.76,1251,0,0.0
2016-10-27,22.76,22.76,22.76,22.76,0,0,0.0
2016-10-28,22.63,22.65,22.14,22.23,1917,0,0.0
2016-10-31,22.15,22.15,22.15,22.15,0,0,0.0
2016-11-01,22.15,22.15,22.15,22.15,0,0,0.0
2016-11-02,21.16,21.38,21.08,21.36,1709,0,0.0
2016-11-03,21.8,21.85,21.36,21.5,1715,0,0.0
2016-11-04,21.5,21.5,21.5,21.5,0,0,0.0
2016-11-07,21.74,21.74,21.74,21.74,0,0,0.0
2016-11-08,21.74,21.74,21.74,21.74,0,0,0.0
2016-11-09,21.74,21.74,21.74,21.74,0,0,0.0
2016-11-10,22.21,22.5,21.63,21.68,2096,0,0.0
2016-11-11,21.68,21.68,21.68,21.68,0,0,0.0
2016-11-14,21.77,21.77,21.77,21.77,0,0,0.0
2016-11-15,21.77,21.77,21.77,21.77,0,0,0.0
2016-11-16,21.15,21.17,20.32,20.44,2232,0,0.0
2016-11-17,20.31,20.51,20.25,20.41,1227,0,0.0
2016-11-18,20.41,20.41,20.41,20.41,0,0,0.0
2016-11-21,20.23,20.23,20.23,20.23,0,0,0.0
2016-11-22,20.23,20.23,20.23,20.23,0,0,0.0
2016-11-23,20.23,20.23,20.23,20.23,0,0,0.0
2016-11-24,19.75,19.89,19.57,19.63,1422,0,0.0
2016-11-25,19.72,20.05,19.58,19.72,966,0,0.0
2016-11-28,19.88,19.88,19.88,19.88,0,0,0.0
2016-11-29,19.88,19.88,19.88,19.88,0,0,0.0
2016-11-30,19.88,19.88,19.88,19.88,0,0,0.0
2016-12-01,19.88,19.88,19.88,19.88,0,0,0.0
2016-12-02,19.88,19.88,19.88,19.88,0,0,0.0
2016-12-05,19.88,19.88,19.88,19.88,0,0,0.0
2016-12-06,19.88,19.88,19.88,19.88,0,0,0.0
2016-12-07,19.88,19.88,19.88,19.88,0,0,0.0
2016-12-12,19.88,19.88,19.88,19.88,0,0,0.0
2016-12-13,19.88,19.88,19.88,19.88,0,0,0.0
2016-12-14,19.88,19.88,19.88,19.88,0,0,0.0
2016-12-20,18.35,18.35,18.16,18.19,327,0,0.0
2016-12-21,18.27,18.45,18.13,18.25,371,0,0.0
2016-12-22,18.19,18.3,18.13,18.29,186,0,0.0
2016-12-23,18.19,18.31,18.16,18.24,198,0,0.0
2016-12-28,18.65,18.82,18.57,18.77,528,0,0.0
2016-12-29,19.04,19.69,19.01,19.65,635,0,0.0
2016-12-30,19.53,19.69,19.47,19.61,390,0,0.0
2017-01-04,20.55,20.89,20.41,20.63,950,0,0.0
2017-01-05,20.89,21.18,20.67,20.95,769,0,0.0
2017-01-06,20.66,20.7,20.31,20.62,571,0,0.0
2017-01-10,20.5,20.56,20.17,20.37,567,0,0.0
2017-01-11,20.55,20.89,20.55,20.6,726,0,0.0
2017-01-12,20.61,20.78,20.6,20.7,366,0,0.0
2017-01-13,20.82,20.93,20.59,20.72,475,0,0.0
2017-01-17,20.57,20.83,20.52,20.77,951,0,0.0
2017-01-18,20.77,20.81,20.55,20.68,979,0,0.0
2017-01-19,21.0,21.38,21.0,21.27,1614,0,0.0
2017-01-20,20.09,20.53,20.06,20.23,1936,0,0.0
2017-01-24,20.64,20.99,20.58,20.66,1353,0,0.0
2017-01-25,20.53,20.74,20.43,20.62,1313,0,0.0
2017-01-26,20.38,20.53,20.26,20.4,1172,0,0.0
2017-01-27,20.39,20.53,20.3,20.47,870,0,0.0
2017-01-31,20.31,20.45,20.26,20.31,741,0,0.0
2017-02-01,20.5,20.7,20.46,20.63,1222,0,0.0
2017-02-02,20.84,21.2,20.35,20.62,2463,0,0.0
2017-02-03,20.44,21.06,20.39,21.04,1751,0,0.0
2017-02-07,21.2,21.32,20.98,21.1,1578,0,0.0
2017-02-08,20.74,20.94,20.61,20.68,989,0,0.0
2017-02-09,20.74,21.03,20.66,20.83,1150,0,0.0
2017-02-10,20.67,20.74,20.31,20.36,1215,0,0.0
2017-02-14,20.04,20.52,20.04,20.35,1594,0,0.0
2017-02-15,20.5,20.84,20.45,20.72,1238,0,0.0
2017-02-16,20.45,20.5,20.05,20.06,1248,0,0.0
2017-02-17,20.34,20.37,20.13,20.2,1258,0,0.0
2017-02-21,20.43,20.54,20.35,20.51,813,0,0.0
2017-02-22,20.77,20.94,20.65,20.74,1677,0,0.0
2017-02-23,20.69,20.72,20.13,20.16,1489,0,0.0
2017-02-24,20.11,20.21,19.75,19.82,1834,0,0.0
2017-02-28,19.25,19.52,19.1,19.38,1642,0,0.0
2017-03-01,19.33,19.5,19.16,19.23,1424,0,0.0
2017-03-02,19.54,19.69,19.35,19.43,1141,0,0.0
2017-03-03,19.5,19.77,19.42,19.62,1059,0,0.0
2017-03-07,19.13,19.15,18.43,18.49,1988,0,0.0
2017-03-08,18.41,18.56,18.19,18.27,1264,0,0.0
2017-03-09,18.5,18.73,18.27,18.32,1603,0,0.0
2017-03-10,18.09,18.34,17.96,18.14,1698,0,0.0
2017-03-14,18.25,18.33,18.1,18.19,967,0,0.0
2017-03-15,18.19,18.29,18.13,18.17,774,0,0.0
2017-03-16,18.3,18.53,18.24,18.27,1862,0,0.0
2017-03-17,18.3,18.38,17.52,17.55,2242,0,0.0
2017-03-21,17.68,17.7,17.05,17.32,2578,0,0.0
2017-03-22,17.29,17.31,17.02,17.2,1547,0,0.0
2017-03-23,17.32,17.47,17.15,17.43,1379,0,0.0
2017-03-24,17.67,17.95,17.54,17.77,1989,0,0.0
2017-03-28,17.84,18.16,17.48,17.55,1685,0,0.0
2017-03-29,17.58,17.59,17.08,17.23,1635,0,0.0
2017-03-30,17.0,17.06,16.58,16.99,1761,0,0.0
2017-03-31,16.81,16.87,16.69,16.76,244,0,0.0
2017-04-04,16.52,16.56,16.17,16.28,1407,0,0.0
2017-04-05,16.6,16.95,16.28,16.36,2691,0,0.0
2017-04-06,16.1,16.43,16.08,16.38,1307,0,0.0
2017-04-07,16.54,16.83,16.48,16.78,1402,0,0.0
2017-04-11,16.6,16.79,16.21,16.63,1937,0,0.0
2017-04-12,16.81,16.93,16.57,16.75,1471,0,0.0
2017-04-13,16.75,17.16,16.64,16.84,1553,0,0.0
2017-04-14,16.74,17.13,16.55,16.66,1916,0,0.0
2017-04-18,16.54,16.67,16.31,16.5,1215,0,0.0
2017-04-19,16.96,16.99,16.64,16.75,1464,0,0.0
2017-04-20,16.52,16.76,16.48,16.55,1128,0,0.0
2017-04-21,16.44,16.67,16.35,16.58,1406,0,0.0
2017-04-25,16.31,16.48,16.24,16.29,1066,0,0.0
2017-04-26,16.32,16.41,15.79,15.92,2238,0,0.0
2017-04-27,15.7,15.86,15.35,15.47,2076,0,0.0
2017-04-28,15.41,16.07,15.4,15.9,1895,0,0.0
2017-05-02,16.19,16.49,15.98,16.12,1799,0,0.0
2017-05-03,15.82,15.91,15.6,15.79,1137,0,0.0
2017-05-04,15.77,15.79,15.31,15.35,1328,0,0.0
2017-05-05,15.38,15.67,15.32,15.4,1219,0,0.0
2017-05-09,15.47,15.71,15.36,15.41,1303,0,0.0
2017-05-10,15.48,15.78,15.45,15.74,1078,0,0.0
2017-05-11,15.91,15.93,15.59,15.62,1016,0,0.0
2017-05-12,15.63,15.84,15.53,15.59,1286,0,0.0
2017-05-16,15.75,15.96,15.73,15.83,1388,0,0.0
2017-05-17,16.01,16.34,15.87,16.19,1949,0,0.0
2017-05-18,16.0,16.19,15.58,16.04,2704,0,0.0
