date,signal_time,symbol,period,contract,direction,p_up,p_down,p_none,path_state,theta,foreign_freshness,acted,entry_price,exit_price,exit_reason,slippage_ticks,pnl_pct,notes
2026-09-14,21:24,rb,60m,,none,0.230,0.200,0.569,,±0.53%,20260914,no,,,,,,全观望首夜；v1.1双种子集成；手册外品种
2026-09-14,21:24,rb,30m,,none,0.246,0.280,0.474,,±0.42%,20260914,no,,,,,,
2026-09-14,21:24,sr,60m,,none,0.237,0.227,0.535,,±0.41%,20260907,no,,,,,,外盘stale被门禁拦截（ICE白糖停9/7）
2026-09-14,21:24,sr,30m,,none,0.251,0.245,0.504,,±0.29%,20260907,no,,,,,,同上
2026-09-14,21:24,p,60m,,none,0.314,0.271,0.415,,±0.81%,20260914,no,,,,,,
2026-09-14,21:24,p,30m,,none,0.281,0.309,0.411,,±0.62%,20260914,no,,,,,,
2026-09-14,21:57,p,30m,,long,0.320,0.329,0.351,,±2.08%,20260914,yes,10077,,,,,v1.1首个真信号：喊多（32.0%>阈值31%）；上轨10286(+105跳)/下轨9868(-105跳)；手册判定=观望（p_30m不在白名单）；限价单@10077已成交（9/14夜盘）；持仓中，等上轨/下轨/收盘出场
2026-09-14,21:57,rb,60m,,none,0.230,0.200,0.569,,±0.53%,20260914,no,,,,,,复跑确认仍观望
2026-09-14,21:57,rb,30m,,none,0.268,0.300,0.433,,±1.41%,20260914,no,,,,,,
2026-09-14,21:57,sr,60m,,none,0.237,0.227,0.535,,±0.41%,20260907,no,,,,,,外盘stale门禁拦截
2026-09-14,21:57,sr,30m,,none,0.291,0.352,0.357,,±0.96%,20260907,no,,,,,,同上；空35.2%接近阈值39%但未过
2026-09-14,21:57,p,60m,,none,0.314,0.271,0.415,,±0.81%,20260914,no,,,,,,
